epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3510.85,1.9735,1.36168,1.00001,0.78694,0.67302,0.73849,0.30359,1.9814,1.27237,0.98405,0.000991542,0.000991542,0.000991542
58,3572.37,1.97926,1.34035,1.001,0.84367,0.68778,0.76899,0.31372,1.97141,1.24939,0.9806,0.000973534,0.000973534,0.000973534
59,3633.63,1.95924,1.35038,1.00403,0.81761,0.68667,0.7596,0.30791,1.99817,1.24898,0.98631,0.000955525,0.000955525,0.000955525
60,3694.89,1.98097,1.32951,1.00705,0.82112,0.68444,0.74052,0.29813,2.08465,1.28048,0.98524,0.000937517,0.000937517,0.000937517
61,3756.26,1.96966,1.34164,1.00547,0.78872,0.70889,0.76754,0.31308,1.99681,1.21593,0.98271,0.000919509,0.000919509,0.000919509
62,3817.59,1.96079,1.33165,0.9972,0.80046,0.66111,0.72125,0.29581,2.03411,1.21705,0.98895,0.000901501,0.000901501,0.000901501
63,3897.25,1.97205,1.32326,1.00856,0.83029,0.67111,0.75987,0.30499,2.0062,1.26855,0.97591,0.000883493,0.000883493,0.000883493
64,3961.3,1.95516,1.31773,1.00198,0.82255,0.67473,0.74757,0.30429,2.00818,1.2355,0.98364,0.000865485,0.000865485,0.000865485
65,4022,1.96487,1.36739,1.00349,0.7997,0.65212,0.72038,0.30181,2.01764,1.25762,0.99206,0.000847476,0.000847476,0.000847476
66,4082.67,1.96574,1.32597,1.0028,0.8136,0.69351,0.76048,0.30769,2.01393,1.25667,0.98514,0.000829468,0.000829468,0.000829468
67,4143.38,1.95804,1.32386,0.99936,0.83007,0.64588,0.75275,0.31186,1.97499,1.26416,0.97495,0.00081146,0.00081146,0.00081146
68,4204.04,1.9369,1.31496,1.00252,0.79083,0.66794,0.75013,0.3113,1.96988,1.22775,0.98513,0.000793452,0.000793452,0.000793452
69,4264.68,1.92717,1.2816,0.99717,0.79275,0.68428,0.76207,0.3176,1.96005,1.22364,0.98339,0.000775444,0.000775444,0.000775444
